feature,importance
zone_9_encoded,0.6362303
strikes,0.16670224
pitch_type_clean_encoded,0.038854033
balls,0.030041918
prev_reward_1,0.020110317
repeat_pitch_1,0.015452541
prev_zone_1_encoded,0.010177213
on_1b,0.009863994
velocity_delta_1,0.00859936
on_2b,0.008277528
prev_zone_2_encoded,0.007944568
repeat_zone_1,0.007530762
prev_pitch_type_1_encoded,0.007517591
prev_velocity_1,0.0073915794
on_3b,0.007198099
inning,0.00664427
prev_pitch_type_2_encoded,0.0059075393
outs_when_up,0.005556253
